Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-04T05:00+01:00,2973.768718,462.5,1443.695619,111.06
2025-01-04T06:00+01:00,2973.61856,462.5,1796.877024,119.2
2025-01-04T07:00+01:00,2973.698644,462.5,2703.49656,126.11
2025-01-04T08:00+01:00,2971.095915,462.5,3115.924377,132.07
2025-01-04T09:00+01:00,2974.21919,462.5,3309.96514,133.57
2025-01-04T10:00+01:00,2971.095915,462.5,3293.596289,131.06
2025-01-04T11:00+01:00,2969.19392,462.5,3090.612622,126.09
2025-01-04T12:00+01:00,2970.315096,462.5,3328.243945,124.93
2025-01-04T13:00+01:00,2972.19707,462.5,3536.635701,126.09
2025-01-04T14:00+01:00,2979.174387,462.5,3825.570339,128.47
2025-01-04T15:00+01:00,2973.848802,462.5,4027.757598,136.84
2025-01-04T16:00+01:00,2974.099064,462.5,4404.84044,144.26
2025-01-04T17:00+01:00,2971.766618,462.5,5885.81501,152.62
2025-01-04T18:00+01:00,2971.696545,462.5,5795.973937,147.76
2025-01-04T19:00+01:00,2972.947857,462.5,4664.827909,140.82
2025-01-04T20:00+01:00,2972.467353,462.5,3639.31184,134.39
2025-01-04T21:00+01:00,2972.897804,462.5,2757.510328,126.95
2025-01-04T22:00+01:00,2974.099064,462.5,2893.073899,126.1
2025-01-04T23:00+01:00,2973.268193,462.5,2545.514443,119.21
2025-01-05T00:00+01:00,2971.316146,462.5,2079.491432,119.4
2025-01-05T01:00+01:00,2972.147017,462.5,1599.900544,114.11
2025-01-05T02:00+01:00,2971.216041,462.5,1567.74303,110.07
2025-01-05T03:00+01:00,2971.346177,462.5,1437.688644,105.83
2025-01-05T04:00+01:00,2970.164938,462.5,1326.057853,107.53
2025-01-05T05:00+01:00,2967.412051,462.5,1851.438187,115.1
2025-01-05T06:00+01:00,2966.59119,462.5,2290.945278,119.94
2025-01-05T07:00+01:00,2965.139668,462.5,2418.863079,124.22
2025-01-05T08:00+01:00,2964.539038,462.5,2253.661762,127.8
2025-01-05T09:00+01:00,2963.337778,462.5,2509.155544,129.11
2025-01-05T10:00+01:00,2963.207642,462.5,2795.532981,128.02
2025-01-05T11:00+01:00,2961.005332,462.5,3209.295348,126.77
2025-01-05T12:00+01:00,2962.086466,462.5,3164.478181,126.1
2025-01-05T13:00+01:00,2961.585941,462.5,3080.138172,126.36
2025-01-05T14:00+01:00,2958.682897,462.5,3224.069872,130.16
2025-01-05T15:00+01:00,2958.032214,462.5,3048.523342,132.1
2025-01-05T16:00+01:00,2955.980062,462.5,3727.293265,133.39
2025-01-05T17:00+01:00,2955.779852,462.5,3619.764689,132.93
2025-01-05T18:00+01:00,2956.150241,462.5,3553.50898,132.8
2025-01-05T19:00+01:00,2958.532739,462.5,3385.300015,131.7
2025-01-05T20:00+01:00,2959.904177,462.5,2273.556546,127.19
2025-01-05T21:00+01:00,2960.684996,462.5,2088.997074,117.88
2025-01-05T22:00+01:00,2963.407852,462.5,2110.766481,119.41
2025-01-05T23:00+01:00,2964.438933,462.5,1930.439701,120.01
2025-01-06T00:00+01:00,2965.660214,462.5,2331.475913,115.69
2025-01-06T01:00+01:00,2966.661264,462.5,1614.501111,105.95
2025-01-06T02:00+01:00,2967.962629,462.5,1703.25661,98.58
2025-01-06T03:00+01:00,2965.640193,462.5,1654.79005,94.81
2025-01-06T04:00+01:00,2966.541138,462.5,1661.097976,98.69
2025-01-06T05:00+01:00,2963.958429,462.5,1956.788844,112.34
2025-01-06T06:00+01:00,2962.536939,462.5,2496.475256,123.07
2025-01-06T07:00+01:00,2962.707117,462.5,3454.936824,132.41
2025-01-06T08:00+01:00,2962.306697,462.5,3268.182012,132.44
2025-01-06T09:00+01:00,2961.205542,462.5,2927.957232,132.8
2025-01-06T10:00+01:00,2960.835154,462.5,2848.065562,130.65
2025-01-06T11:00+01:00,2957.401553,462.5,2768.723901,128.06
2025-01-06T12:00+01:00,2957.401553,462.5,3234.84696,123.41
2025-01-06T13:00+01:00,2957.832004,462.5,2915.149434,123.41
2025-01-06T14:00+01:00,2957.081217,462.5,2993.999609,127.91
2025-01-06T15:00+01:00,2955.079117,462.5,3122.362104,137.19
2025-01-06T16:00+01:00,2950.974813,462.5,3717.61559,137.05
2025-01-06T17:00+01:00,2948.021716,462.5,4714.478853,139.99
2025-01-06T18:00+01:00,2947.921611,462.5,5648.769419,137.5
2025-01-06T19:00+01:00,2949.923711,462.5,4338.636296,134.91
2025-01-06T20:00+01:00,2954.428435,462.5,3168.425048,129.8
2025-01-06T21:00+01:00,2957.581742,462.5,2373.273612,128.88
2025-01-06T22:00+01:00,2958.632844,462.5,2180.904,125.88
2025-01-06T23:00+01:00,2959.55381,462.5,1891.427785,122.13
2025-01-07T00:00+01:00,2960.785101,462.5,1652.5344,118.51
2025-01-07T01:00+01:00,2962.456855,462.5,1245.824848,115.19
2025-01-07T02:00+01:00,2962.657065,462.5,1185.386857,115.86
2025-01-07T03:00+01:00,2962.837253,462.5,1341.867475,115.35
2025-01-07T04:00+01:00,2962.456855,462.5,1693.543906,111.27
2025-01-07T05:00+01:00,2960.855175,462.5,1861.474583,118.4
2025-01-07T06:00+01:00,2959.603862,462.5,2517.546478,124.39
2025-01-07T07:00+01:00,2957.301448,462.5,3870.467592,131.69
2025-01-07T08:00+01:00,2957.231374,462.5,4220.971603,138.4
2025-01-07T09:00+01:00,2956.830954,462.5,4220.613081,134.5
2025-01-07T10:00+01:00,2958.332529,462.5,5321.598602,133.78
2025-01-07T11:00+01:00,2958.55276,462.5,4709.977458,136.04
2025-01-07T12:00+01:00,2766.201033,462.5,4562.387813,131.54
2025-01-07T13:00+01:00,2962.386781,462.5,5582.711181,129.2
2025-01-07T14:00+01:00,2964.709217,462.5,5217.422871,134.05
2025-01-07T15:00+01:00,2964.539038,462.5,5040.679061,140.6
