Date (GMT+1),Nuclear,Renewable,Day Ahead Auction (CH),Day Ahead Auction (IT-North-CH)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2016-01-01T00:00+01:00,3095.682817,1698.286668,41.09,49.62
2016-01-01T01:00+01:00,3096.298506,1590.932171,40.16,43.5
2016-01-01T02:00+01:00,3096.093276,1572.943216,36.03,38.63
2016-01-01T03:00+01:00,3095.682817,1541.280713,33.59,36.8
2016-01-01T04:00+01:00,3094.656669,1525.248392,32.92,34.5
2016-01-01T05:00+01:00,3094.656669,1558.760267,32.8,32.1
2016-01-01T06:00+01:00,3094.656669,1613.397515,32.93,36
2016-01-01T07:00+01:00,3094.656669,1581.033355,25.43,37.54
2016-01-01T08:00+01:00,3037.19239,1551.2982,30.01,37.54
2016-01-01T09:00+01:00,3034.113947,1559.999381,32.34,35.95
2016-01-01T10:00+01:00,3032.061651,1638.892586,34.07,37.63
2016-01-01T11:00+01:00,3031.035503,1682.850065,34.56,36.8
2016-01-01T12:00+01:00,3056.689199,1704.037684,35.49,37.54
2016-01-01T13:00+01:00,3080.2906,1682.623299,33.29,34.6
2016-01-01T14:00+01:00,3085.421339,1671.823076,35.66,35.95
2016-01-01T15:00+01:00,3041.296982,1657.264308,39.83,41.18
2016-01-01T16:00+01:00,3060.793791,1625.262546,41.07,46.65
2016-01-01T17:00+01:00,3091.578226,1788.514996,52.28,57.96
2016-01-01T18:00+01:00,3093.630522,1776.150735,51.92,61.31
2016-01-01T19:00+01:00,3091.578226,1660.532418,49.44,60
2016-01-01T20:00+01:00,3092.604374,1523.603776,48.2,57
2016-01-01T21:00+01:00,3093.630522,1559.43379,44.93,55
2016-01-01T22:00+01:00,3093.630522,1597.21995,43.77,46.76
2016-01-01T23:00+01:00,3095.682817,1622.850348,40.84,43.21
2016-01-02T00:00+01:00,3073.107565,1564.764327,39.73,39.52
2016-01-02T01:00+01:00,3036.166242,1576.021396,36.87,36.29
2016-01-02T02:00+01:00,3038.218538,1637.305724,33.53,35.89
2016-01-02T03:00+01:00,3036.166242,1605.01592,31.4,35.22
2016-01-02T04:00+01:00,3064.898382,1604.664947,24.94,35.15
2016-01-02T05:00+01:00,3077.212156,1519.026173,29.04,35.89
2016-01-02T06:00+01:00,3084.395191,1542.02308,32.51,38.72
2016-01-02T07:00+01:00,3092.604374,1547.843382,37.75,45.88
2016-01-02T08:00+01:00,3095.682817,1593.224297,40.16,54.51
2016-01-02T09:00+01:00,3093.630522,1561.176725,41.56,55
2016-01-02T10:00+01:00,3092.604374,1625.726969,41.58,54.61
2016-01-02T11:00+01:00,3095.682817,1680.824296,41.66,48.48
2016-01-02T12:00+01:00,3093.630522,1651.776426,41.57,45.01
2016-01-02T13:00+01:00,3093.630522,1653.388863,41.52,41.64
2016-01-02T14:00+01:00,3092.604374,1673.436756,41.53,43.72
2016-01-02T15:00+01:00,3091.578226,1768.740171,41.58,48.95
2016-01-02T16:00+01:00,3092.604374,1795.308874,49.43,52.99
2016-01-02T17:00+01:00,3089.52593,1957.708112,55.16,60.99
